"","x1","x2","value","shared_name"
"44","Faecalibacterium","Barnesiella",0.200432330369949,"Faecalibacterium (positive) Barnesiella"
"45","Butyricicoccus","Bifidobacterium",0.240361511707306,"Butyricicoccus (positive) Bifidobacterium"
"46","Lachnospiraceae_FCS020_group","Bifidobacterium",0.355154991149902,"Lachnospiraceae_FCS020_group (positive) Bifidobacterium"
"47","4-Aminoantipyrine","Bifidobacterium",0.211327210068703,"4-Aminoantipyrine (positive) Bifidobacterium"
"48","Ethylhexadecyldimethylammonium cation","Bifidobacterium",0.254353374242783,"Ethylhexadecyldimethylammonium cation (positive) Bifidobacterium"
"49","L-Carnitine","Bifidobacterium",0.242010653018951,"L-Carnitine (negative) Bifidobacterium"
"50","rac erythro-Dihydrobupropion","Bifidobacterium",0.252151638269424,"rac erythro-Dihydrobupropion (positive) Bifidobacterium"
"51","Tyrosine","Bifidobacterium",0.259385049343109,"Tyrosine (positive) Bifidobacterium"
"52","Urea","Bifidobacterium",0.277051240205765,"Urea (negative) Bifidobacterium"
"53","Ruminiclostridium","Bilophila",0.268468499183655,"Ruminiclostridium (positive) Bilophila"
"54","Lauroyl-L-carnitine","Bilophila",0.243207722902298,"Lauroyl-L-carnitine (negative) Bilophila"
"55","Erysipelatoclostridium","Blautia",0.229745700955391,"Erysipelatoclostridium (positive) Blautia"
"56","Erysipelotrichaceae_UCG-003","Blautia",0.32325467467308,"Erysipelotrichaceae_UCG-003 (positive) Blautia"
"57","Family_XIII_UCG-001","Butyricicoccus",0.203366786241531,"Family_XIII_UCG-001 (positive) Butyricicoccus"
"58","Lachnospiraceae_UCG-001","Butyricicoccus",0.201193392276764,"Lachnospiraceae_UCG-001 (positive) Butyricicoccus"
"59","4-Acetylbutyric acid","Butyricicoccus",0.3367999792099,"4-Acetylbutyric acid (positive) Butyricicoccus"
"60","L-Carnitine","Butyricicoccus",0.200742766261101,"L-Carnitine (positive) Butyricicoccus"
"61","GCA-900066575","Butyricimonas",0.347062855958939,"GCA-900066575 (positive) Butyricimonas"
"62","Streptobacillus","Butyricimonas",0.223884254693985,"Streptobacillus (positive) Butyricimonas"
"63","Romboutsia","Butyrivibrio",0.203890234231949,"Romboutsia (positive) Butyrivibrio"
"64","Dialister","CAG-352",0.285123139619827,"Dialister (positive) CAG-352"
"65","Methanobrevibacter","CAG-352",0.301735669374466,"Methanobrevibacter (positive) CAG-352"
"66","Parabacteroides","CAG-352",0.237064674496651,"Parabacteroides (positive) CAG-352"
"67","Ruminococcaceae_UCG-005","CAG-352",0.23423820734024,"Ruminococcaceae_UCG-005 (positive) CAG-352"
"68","4-Aminomethylcyclohexanecarboxylic acid","CAG-352",0.223536759614944,"4-Aminomethylcyclohexanecarboxylic acid (negative) CAG-352"
"69","Fournierella","CAG-56",0.265710324048996,"Fournierella (positive) CAG-56"
"70","Corynebacterium_1","Campylobacter",0.231054604053497,"Corynebacterium_1 (negative) Campylobacter"
"71","Ezakiella","Campylobacter",0.599058568477631,"Ezakiella (positive) Campylobacter"
"72","Murdochiella","Campylobacter",0.281214445829391,"Murdochiella (positive) Campylobacter"
"73","Peptoniphilus","Campylobacter",0.216195285320282,"Peptoniphilus (positive) Campylobacter"
"74","Dubosiella","Candidatus_Stoquefichus",0.278843283653259,"Dubosiella (positive) Candidatus_Stoquefichus"
"75","Ruminococcaceae_UCG-013","Candidatus_Stoquefichus",0.209113076329231,"Ruminococcaceae_UCG-013 (positive) Candidatus_Stoquefichus"
"76","Montelukast-1,2-diol","Candidatus_Stoquefichus",0.498655587434769,"Montelukast-1,2-diol (positive) Candidatus_Stoquefichus"
"77","Palmitoyleicosapentaenoyl phosphatidylcholine","Candidatus_Stoquefichus",0.34870582818985,"Palmitoyleicosapentaenoyl phosphatidylcholine (positive) Candidatus_Stoquefichus"
"78","Stearoyl-L-carnitine","Candidatus_Stoquefichus",0.211430594325066,"Stearoyl-L-carnitine (negative) Candidatus_Stoquefichus"
"79","Peptococcus","Catenibacterium",0.283198595046997,"Peptococcus (positive) Catenibacterium"
"80","Ruminococcaceae_UCG-010","Catenibacterium",0.27805095911026,"Ruminococcaceae_UCG-010 (positive) Catenibacterium"
"81","Lachnospiraceae_UCG-003","Christensenellaceae_R-7_group",0.235804826021194,"Lachnospiraceae_UCG-003 (positive) Christensenellaceae_R-7_group"
"82","Ruminococcaceae_UCG-013","Christensenellaceae_R-7_group",0.22934690117836,"Ruminococcaceae_UCG-013 (positive) Christensenellaceae_R-7_group"
"83","3-Ketopetromyzonol","Christensenellaceae_R-7_group",0.206661939620972,"3-Ketopetromyzonol (positive) Christensenellaceae_R-7_group"
"84","Faecalitalea","Cloacibacillus",0.548728287220001,"Faecalitalea (positive) Cloacibacillus"
"85","Fusobacterium","Collinsella",0.218558773398399,"Fusobacterium (negative) Collinsella"
"86","Lactococcus","Collinsella",0.223079577088356,"Lactococcus (negative) Collinsella"
"87","Ruminiclostridium","Collinsella",0.349044293165207,"Ruminiclostridium (positive) Collinsella"
"88","4-Methyl-5-thiazoleethanol","Collinsella",0.279340535402298,"4-Methyl-5-thiazoleethanol (positive) Collinsella"
"89","Odoribacter","Coprobacter",0.232747554779053,"Odoribacter (positive) Coprobacter"
"90","Lachnospiraceae_UCG-004","Coprococcus_1",0.300507992506027,"Lachnospiraceae_UCG-004 (positive) Coprococcus_1"
"91","Desulfovibrio","Coprococcus_2",0.208205252885818,"Desulfovibrio (positive) Coprococcus_2"
"92","Ruminococcaceae_NK4A214_group","Coprococcus_2",0.216774955391884,"Ruminococcaceae_NK4A214_group (positive) Coprococcus_2"
"93","Fusobacterium","Coprococcus_3",0.273723125457764,"Fusobacterium (positive) Coprococcus_3"
"94","Shuttleworthia","Corynebacterium",0.219551742076874,"Shuttleworthia (positive) Corynebacterium"
"95","Ezakiella","Corynebacterium_1",0.210319653153419,"Ezakiella (positive) Corynebacterium_1"
"96","Staphylococcus","Corynebacterium_1",0.233503714203835,"Staphylococcus (positive) Corynebacterium_1"
"97","Gemella","Defluviitaleaceae_UCG-011",0.217343553900719,"Gemella (positive) Defluviitaleaceae_UCG-011"
"98","Lachnospiraceae_NC2004_group","Defluviitaleaceae_UCG-011",0.3158018887043,"Lachnospiraceae_NC2004_group (positive) Defluviitaleaceae_UCG-011"
"99","Neisseria","Defluviitaleaceae_UCG-011",0.343518704175949,"Neisseria (positive) Defluviitaleaceae_UCG-011"
"100","Faecalibacterium","Desulfovibrio",0.292493760585785,"Faecalibacterium (positive) Desulfovibrio"
"101","Fusobacterium","Desulfovibrio",0.216401517391205,"Fusobacterium (positive) Desulfovibrio"
"102","2-Indolinone","Desulfovibrio",0.252930343151093,"2-Indolinone (positive) Desulfovibrio"
"103","7.alpha.-Hydroxy-3-oxo-4-cholestenoic acid","Desulfovibrio",0.204075053334236,"7.alpha.-Hydroxy-3-oxo-4-cholestenoic acid (negative) Desulfovibrio"
"104","Enterococcus","Dialister",0.201719254255295,"Enterococcus (positive) Dialister"
"105","Haemophilus","Dialister",0.215338319540024,"Haemophilus (positive) Dialister"
"106","Phascolarctobacterium","Dialister",0.208270147442818,"Phascolarctobacterium (negative) Dialister"
"107","Gemella","Dielma",0.266789436340332,"Gemella (positive) Dielma"
"108","Erysipelotrichaceae_UCG-003","Dorea",0.204873710870743,"Erysipelotrichaceae_UCG-003 (positive) Dorea"
"109","Indirubin","Dorea",0.215559586882591,"Indirubin (positive) Dorea"
"110","Stearoyl-L-carnitine","Dorea",0.291354775428772,"Stearoyl-L-carnitine (positive) Dorea"
"111","Intestinibacter","Dubosiella",0.205472409725189,"Intestinibacter (positive) Dubosiella"
"112","Ergothioneine","Dubosiella",0.206905081868172,"Ergothioneine (positive) Dubosiella"
"113","Lachnospiraceae_UCG-003","Enterococcus",0.267021745443344,"Lachnospiraceae_UCG-003 (negative) Enterococcus"
"114","Erysipelotrichaceae_UCG-003","Erysipelatoclostridium",0.211905166506767,"Erysipelotrichaceae_UCG-003 (positive) Erysipelatoclostridium"
"115","Lachnospiraceae_FCS020_group","Erysipelatoclostridium",0.296624571084976,"Lachnospiraceae_FCS020_group (positive) Erysipelatoclostridium"
"116","Lachnospiraceae_NK4A136_group","Erysipelatoclostridium",0.21288888156414,"Lachnospiraceae_NK4A136_group (positive) Erysipelatoclostridium"
"117","Tyzzerella","Erysipelotrichaceae_UCG-003",0.238655582070351,"Tyzzerella (negative) Erysipelotrichaceae_UCG-003"
"118","Prevotella_9","Erysipelotrichaceae_UCG-004",0.233801916241646,"Prevotella_9 (positive) Erysipelotrichaceae_UCG-004"
"119","Ruminococcaceae_UCG-013","Erysipelotrichaceae_UCG-004",0.245014831423759,"Ruminococcaceae_UCG-013 (positive) Erysipelotrichaceae_UCG-004"
"120","4-Aminomethylcyclohexanecarboxylic acid","Erysipelotrichaceae_UCG-004",0.444477796554565,"4-Aminomethylcyclohexanecarboxylic acid (positive) Erysipelotrichaceae_UCG-004"
"121","Betaine","Erysipelotrichaceae_UCG-004",0.233878418803215,"Betaine (negative) Erysipelotrichaceae_UCG-004"
"122","Choline","Erysipelotrichaceae_UCG-004",0.298389405012131,"Choline (positive) Erysipelotrichaceae_UCG-004"
"123","Tyrosine","Erysipelotrichaceae_UCG-004",0.20653934776783,"Tyrosine (positive) Erysipelotrichaceae_UCG-004"
"124","Holdemania","Escherichia/Shigella",0.203886017203331,"Holdemania (positive) Escherichia/Shigella"
"125","Tyzzerella","Escherichia/Shigella",0.209976583719254,"Tyzzerella (positive) Escherichia/Shigella"
"126","7.alpha.-Hydroxy-3-oxo-4-cholestenoic acid","Escherichia/Shigella",0.252324730157852,"7.alpha.-Hydroxy-3-oxo-4-cholestenoic acid (positive) Escherichia/Shigella"
"127","Finegoldia","Ezakiella",0.232270613312721,"Finegoldia (positive) Ezakiella"
"128","Lawsonella","Ezakiella",0.320605725049973,"Lawsonella (positive) Ezakiella"
"129","Murdochiella","Ezakiella",0.239220708608627,"Murdochiella (positive) Ezakiella"
"130","S5-A14a","Ezakiella",0.480061709880829,"S5-A14a (negative) Ezakiella"
"131","Staphylococcus","Ezakiella",0.285120666027069,"Staphylococcus (negative) Ezakiella"
"132","Romboutsia","Faecalibacterium",0.201139539480209,"Romboutsia (positive) Faecalibacterium"
"133","4-Acetylbutyric acid","Faecalibacterium",0.222259238362312,"4-Acetylbutyric acid (positive) Faecalibacterium"
"134","Betaine","Faecalibacterium",0.200792849063873,"Betaine (negative) Faecalibacterium"
"135","Creatinine","Faecalibacterium",0.200317338109016,"Creatinine (positive) Faecalibacterium"
"136","N.alpha.-Methyl-L-lysine","Faecalibacterium",0.202541247010231,"N.alpha.-Methyl-L-lysine (positive) Faecalibacterium"
"137","Oleamide","Faecalibacterium",0.445578962564468,"Oleamide (positive) Faecalibacterium"
"138","Hydrogenoanaerobacterium","Faecalitalea",0.27806892991066,"Hydrogenoanaerobacterium (positive) Faecalitalea"
"139","4-Aminomethylcyclohexanecarboxylic acid","Family_XIII_AD3011_group",0.210818514227867,"4-Aminomethylcyclohexanecarboxylic acid (negative) Family_XIII_AD3011_group"
"140","4-Imidazoleacrylic acid","Family_XIII_AD3011_group",0.23209585249424,"4-Imidazoleacrylic acid (negative) Family_XIII_AD3011_group"
"141","Octanoylcarnitine","Family_XIII_AD3011_group",0.221522346138954,"Octanoylcarnitine (positive) Family_XIII_AD3011_group"
"142","Holdemania","Family_XIII_UCG-001",0.22691211104393,"Holdemania (positive) Family_XIII_UCG-001"
"143","Mobiluncus","Fastidiosipila",0.265386790037155,"Mobiluncus (positive) Fastidiosipila"
"144","Murdochiella","Fastidiosipila",0.213595256209373,"Murdochiella (negative) Fastidiosipila"
"145","Porphyromonas","Fastidiosipila",0.372517794370651,"Porphyromonas (positive) Fastidiosipila"
"146","Staphylococcus","Finegoldia",0.322062015533447,"Staphylococcus (positive) Finegoldia"
"147","Lachnospiraceae_ND3007_group","Fournierella",0.273955434560776,"Lachnospiraceae_ND3007_group (positive) Fournierella"
"148","Marvinbryantia","Fournierella",0.200024992227554,"Marvinbryantia (negative) Fournierella"
"149","Cotinine","Fournierella",0.267093122005463,"Cotinine (positive) Fournierella"
"150","UC5-1-2E3","Fusicatenibacter",0.25118088722229,"UC5-1-2E3 (negative) Fusicatenibacter"
"151","Acetaminophen sulfate","Fusicatenibacter",0.228815391659737,"Acetaminophen sulfate (positive) Fusicatenibacter"
"152","L-Carnitine","Fusicatenibacter",0.208821654319763,"L-Carnitine (negative) Fusicatenibacter"
"153","Oleamide","Fusicatenibacter",0.245528042316437,"Oleamide (positive) Fusicatenibacter"
"154","Parabacteroides","Fusobacterium",0.268580496311188,"Parabacteroides (positive) Fusobacterium"
"155","Cotinine","Fusobacterium",0.211096227169037,"Cotinine (negative) Fusobacterium"
"156","Glycocholic acid","Fusobacterium",0.432393819093704,"Glycocholic acid (positive) Fusobacterium"
"157","Negativicoccus","Gallicola",0.205966487526894,"Negativicoccus (positive) Gallicola"
"158","Peptoniphilus","Gallicola",0.248857215046883,"Peptoniphilus (positive) Gallicola"
"159","S5-A14a","Gallicola",0.226788744330406,"S5-A14a (negative) Gallicola"
"160","Oleamide","Gallicola",0.298744142055511,"Oleamide (positive) Gallicola"
"161","Peptococcus","Gardnerella",0.312414437532425,"Peptococcus (positive) Gardnerella"
"162","Lactococcus","GCA-900066225",0.49323096871376,"Lactococcus (positive) GCA-900066225"
"163","Klebsiella","Haemophilus",0.322292417287827,"Klebsiella (positive) Haemophilus"
"164","Peptostreptococcus","Haemophilus",0.211246058344841,"Peptostreptococcus (negative) Haemophilus"
"165","Streptococcus","Haemophilus",0.415128231048584,"Streptococcus (positive) Haemophilus"
"166","Ruminococcaceae_UCG-010","Holdemanella",0.368196904659271,"Ruminococcaceae_UCG-010 (positive) Holdemanella"
"167","N-Palmitoyl-D-sphingosine","Holdemania",0.216014802455902,"N-Palmitoyl-D-sphingosine (negative) Holdemania"
"168","Ruminococcus_2","Hydrogenoanaerobacterium",0.274749457836151,"Ruminococcus_2 (positive) Hydrogenoanaerobacterium"
"169","Acetylcarnitine","Hydrogenoanaerobacterium",0.221099749207497,"Acetylcarnitine (positive) Hydrogenoanaerobacterium"
"170","Phascolarctobacterium","Intestinibacter",0.204559862613678,"Phascolarctobacterium (negative) Intestinibacter"
"171","L-Carnitine","Intestinibacter",0.206548511981964,"L-Carnitine (positive) Intestinibacter"
"172","Odoribacter","Intestinimonas",0.223017439246178,"Odoribacter (positive) Intestinimonas"
"173","1-Methylnicotinamide","Intestinimonas",0.354871213436127,"1-Methylnicotinamide (positive) Intestinimonas"
"174","Lachnospiraceae_UCG-003","Klebsiella",0.301750630140305,"Lachnospiraceae_UCG-003 (positive) Klebsiella"
"175","Neisseria","Klebsiella",0.40681317448616,"Neisseria (positive) Klebsiella"
"176","Lachnospiraceae_UCG-004","Lachnoclostridium",0.229589596390724,"Lachnospiraceae_UCG-004 (negative) Lachnoclostridium"
"177","Lachnospiraceae_UCG-010","Lachnoclostridium",0.20889250934124,"Lachnospiraceae_UCG-010 (positive) Lachnoclostridium"
"178","Tyzzerella","Lachnoclostridium",0.312566012144089,"Tyzzerella (positive) Lachnoclostridium"
"179","4-Aminomethylcyclohexanecarboxylic acid","Lachnoclostridium",0.252595275640488,"4-Aminomethylcyclohexanecarboxylic acid (positive) Lachnoclostridium"
"180","Indirubin","Lachnoclostridium",0.277875453233719,"Indirubin (positive) Lachnoclostridium"
"181","S-Methyl-3-thioacetaminophen","Lachnoclostridium",0.271780222654343,"S-Methyl-3-thioacetaminophen (positive) Lachnoclostridium"
"182","Cotinine","Lachnospira",0.205013498663902,"Cotinine (positive) Lachnospira"
"183","Lachnospiraceae_UCG-003","Lachnospiraceae_AC2044_group",0.203983709216118,"Lachnospiraceae_UCG-003 (positive) Lachnospiraceae_AC2044_group"
"184","3-Ketopetromyzonol","Lachnospiraceae_AC2044_group",0.239500060677528,"3-Ketopetromyzonol (positive) Lachnospiraceae_AC2044_group"
"185","Ruminococcaceae_NK4A214_group","Lachnospiraceae_NC2004_group",0.210230886936188,"Ruminococcaceae_NK4A214_group (positive) Lachnospiraceae_NC2004_group"
"186","Streptobacillus","Lachnospiraceae_ND3007_group",0.23091433942318,"Streptobacillus (negative) Lachnospiraceae_ND3007_group"
"187","Cotinine","Lachnospiraceae_ND3007_group",0.316556364297867,"Cotinine (negative) Lachnospiraceae_ND3007_group"
"188","Ruminococcaceae_UCG-013","Lachnospiraceae_NK4A136_group",0.260531097650528,"Ruminococcaceae_UCG-013 (positive) Lachnospiraceae_NK4A136_group"
"189","3-Ketopetromyzonol","Lachnospiraceae_NK4A136_group",0.261421531438828,"3-Ketopetromyzonol (positive) Lachnospiraceae_NK4A136_group"
"190","3-Hydroxyoleylcarnitine","Lachnospiraceae_UCG-001",0.217129826545715,"3-Hydroxyoleylcarnitine (positive) Lachnospiraceae_UCG-001"
"191","Cortisone","Lachnospiraceae_UCG-001",0.232639297842979,"Cortisone (positive) Lachnospiraceae_UCG-001"
"192","Streptobacillus","Lachnospiraceae_UCG-003",0.519948899745941,"Streptobacillus (positive) Lachnospiraceae_UCG-003"
"193","Neisseria","Lachnospiraceae_UCG-004",0.219441711902618,"Neisseria (positive) Lachnospiraceae_UCG-004"
"194","Ruminococcus_1","Lachnospiraceae_UCG-004",0.216147124767303,"Ruminococcus_1 (negative) Lachnospiraceae_UCG-004"
"195","Shuttleworthia","Lachnospiraceae_UCG-004",0.207254737615585,"Shuttleworthia (positive) Lachnospiraceae_UCG-004"
"196","4-Aminomethylcyclohexanecarboxylic acid","Lachnospiraceae_UCG-004",0.32886078953743,"4-Aminomethylcyclohexanecarboxylic acid (positive) Lachnospiraceae_UCG-004"
"197","N-Palmitoyl-D-sphingosine","Lachnospiraceae_UCG-004",0.232753694057465,"N-Palmitoyl-D-sphingosine (negative) Lachnospiraceae_UCG-004"
"198","Paraprevotella","Lachnospiraceae_UCG-008",0.228489175438881,"Paraprevotella (negative) Lachnospiraceae_UCG-008"
"199","Sutterella","Lachnospiraceae_UCG-010",0.205235093832016,"Sutterella (negative) Lachnospiraceae_UCG-010"
"200","2-Phenylacetamide","Lachnospiraceae_UCG-010",0.254490315914154,"2-Phenylacetamide (positive) Lachnospiraceae_UCG-010"
"201","Marvinbryantia","Lactococcus",0.298221856355667,"Marvinbryantia (positive) Lactococcus"
"202","Megamonas","Lactococcus",0.210768207907677,"Megamonas (positive) Lactococcus"
"203","Mobiluncus","Lawsonella",0.21990105509758,"Mobiluncus (positive) Lawsonella"
"204","Negativicoccus","Lawsonella",0.247629761695862,"Negativicoccus (positive) Lawsonella"
"205","S5-A14a","Lawsonella",0.304660707712173,"S5-A14a (negative) Lawsonella"
"206","Methanomassiliicoccus","Marvinbryantia",0.373267412185669,"Methanomassiliicoccus (positive) Marvinbryantia"
"207","Ruminococcaceae_NK4A214_group","Megamonas",0.273355722427368,"Ruminococcaceae_NK4A214_group (positive) Megamonas"
"208","Auramine O","Merdibacter",0.559785425662994,"Auramine O (positive) Merdibacter"
"209","Ruminococcaceae_UCG-002","Methanobrevibacter",0.238227143883705,"Ruminococcaceae_UCG-002 (positive) Methanobrevibacter"
"210","Auramine O","Methanomassiliicoccus",0.260732561349869,"Auramine O (negative) Methanomassiliicoccus"
"211","Negativicoccus","Mobiluncus",0.204648286104202,"Negativicoccus (negative) Mobiluncus"
"212","S5-A14a","Murdochiella",0.325128704309464,"S5-A14a (positive) Murdochiella"
"213","Porphyromonas","Negativicoccus",0.398390769958496,"Porphyromonas (positive) Negativicoccus"
"214","S5-A14a","Negativicoccus",0.249628245830536,"S5-A14a (positive) Negativicoccus"
"215","Streptococcus","Neisseria",0.339775145053864,"Streptococcus (negative) Neisseria"
"216","Stearoyl-L-carnitine","Odoribacter",0.25498178601265,"Stearoyl-L-carnitine (negative) Odoribacter"
"217","Prevotella_9","Parabacteroides",0.249083206057549,"Prevotella_9 (negative) Parabacteroides"
"218","5-Methylcytidine","Parabacteroides",0.251804500818253,"5-Methylcytidine (positive) Parabacteroides"
"219","rac erythro-Dihydrobupropion","Parabacteroides",0.275937139987946,"rac erythro-Dihydrobupropion (negative) Parabacteroides"
"220","S-Methyl-3-thioacetaminophen","Parabacteroides",0.2284185141325,"S-Methyl-3-thioacetaminophen (negative) Parabacteroides"
"221","Pseudomonas","Paraprevotella",0.224189713597298,"Pseudomonas (negative) Paraprevotella"
"222","Caffeine","Parasutterella",0.231524392962456,"Caffeine (positive) Parasutterella"
"223","S5-A14a","Peptococcus",0.300688296556473,"S5-A14a (positive) Peptococcus"
"224","4-Imidazoleacrylic acid","Peptococcus",0.228901654481888,"4-Imidazoleacrylic acid (positive) Peptococcus"
"225","S-Methyl-3-thioacetaminophen","Peptococcus",0.261608600616455,"S-Methyl-3-thioacetaminophen (positive) Peptococcus"
"226","S5-A14a","Peptoniphilus",0.265547037124634,"S5-A14a (positive) Peptoniphilus"
"227","Streptococcus","Peptostreptococcus",0.526397109031677,"Streptococcus (positive) Peptostreptococcus"
"228","Phenylacetyl-L-glutamine","Phascolarctobacterium",0.248047307133675,"Phenylacetyl-L-glutamine (negative) Phascolarctobacterium"
"229","Prevotellaceae_NK3B31_group","Prevotella_2",0.459561854600906,"Prevotellaceae_NK3B31_group (positive) Prevotella_2"
"230","Ruminococcaceae_UCG-005","Prevotella_9",0.245651721954346,"Ruminococcaceae_UCG-005 (positive) Prevotella_9"
"231","Ruminococcaceae_UCG-010","Prevotellaceae_NK3B31_group",0.207924157381058,"Ruminococcaceae_UCG-010 (positive) Prevotellaceae_NK3B31_group"
"232","Acetaminophen sulfate","Prevotellaceae_NK3B31_group",0.269315540790558,"Acetaminophen sulfate (positive) Prevotellaceae_NK3B31_group"
"233","2-Amino-1-phenylethanol","Pseudomonas",0.216950103640556,"2-Amino-1-phenylethanol (negative) Pseudomonas"
"234","2'-Deoxyinosine","Pseudomonas",0.210208088159561,"2'-Deoxyinosine (negative) Pseudomonas"
"235","Benzyldimethylstearylammonium cation","Pseudomonas",0.267718553543091,"Benzyldimethylstearylammonium cation (positive) Pseudomonas"
"236","Betaine","Romboutsia",0.202692225575447,"Betaine (positive) Romboutsia"
"237","Ruminococcaceae_UCG-013","Roseburia",0.200708299875259,"Ruminococcaceae_UCG-013 (positive) Roseburia"
"238","Streptobacillus","Roseburia",0.269393295049667,"Streptobacillus (positive) Roseburia"
"239","3-Ketopetromyzonol","Roseburia",0.207682743668556,"3-Ketopetromyzonol (positive) Roseburia"
"240","4-Methyl-5-thiazoleethanol","Ruminiclostridium",0.313309043645859,"4-Methyl-5-thiazoleethanol (negative) Ruminiclostridium"
"241","2-Amino-3-methoxybenzoic acid","Ruminiclostridium_1",0.284743994474411,"2-Amino-3-methoxybenzoic acid (negative) Ruminiclostridium_1"
"242","4-Aminophenol","Ruminiclostridium_1",0.323220431804657,"4-Aminophenol (positive) Ruminiclostridium_1"
"243","4-Hydroxybenzoic acid","Ruminiclostridium_1",0.280738115310669,"4-Hydroxybenzoic acid (positive) Ruminiclostridium_1"
"244","N2,N2-Dimethylguanosine","Ruminiclostridium_6",0.215069383382797,"N2,N2-Dimethylguanosine (negative) Ruminiclostridium_6"
"245","Ruminococcus_2","Ruminiclostridium_9",0.230302006006241,"Ruminococcus_2 (positive) Ruminiclostridium_9"
"246","Ruminococcaceae_UCG-003","Ruminococcaceae_NK4A214_group",0.238297894597054,"Ruminococcaceae_UCG-003 (positive) Ruminococcaceae_NK4A214_group"
